"1","1","0","0","0","0","1","0","Sweden","Europe","2020-06-08"
"1","1","0","0","1","0","0","1","Sudan","Africa","2020-06-08"
"1","1","0","1","1","0","0","1","Germany","Europe","2020-06-08"
"1","1","0","0","0","0","0","0","Nicaragua","North America","2020-06-08"
"1","1","1","1","0","1","1","1","Jamaica","North America","2020-06-08"
"0","0","0","1","0","0","0","0","Jordan","Asia","2020-06-08"
"0","0","1","0","0","0","1","0","Portugal","Europe","2020-06-08"
"1","1","0","0","0","1","0","1","Niue","Oceania","2020-06-08"
"1","1","1","0","1","0","1","0","Kyrgyzstan","Asia","2020-06-08"
"1","1","0","0","1","0","1","0","New Zealand","Oceania","2020-06-08"
"1","1","0","0","0","0","0","0","Martinique","North America","2020-06-08"
"1","1","0","1","0","1","1","0","Belarus","Europe","2020-06-08"
"1","1","0","0","1","0","0","0","Bermuda","North America","2020-06-08"
"0","0","0","0","1","0","0","0","Ireland","Europe","2020-06-08"
"1","1","1","0","1","1","1","0","Dominican Republic","North America","2020-06-08"
"0","0","0","1","1","0","0","0","Australia","Oceania","2020-06-08"
"1","1","1","0","1","1","0","0","Denmark","Europe","2020-06-08"
"0","0","0","1","0","1","0","0","Botswana","Africa","2020-06-08"
"0","0","0","1","0","1","1","1","Brunei","Asia","2020-06-08"
"1","1","1","0","0","0","0","1","Netherlands","Europe","2020-06-09"
"0","0","0","0","0","0","0","0","Serbia","Europe","2020-06-09"
"1","1","0","0","0","0","0","1","Micronesia","Oceania","2020-06-09"
"0","0","0","1","1","0","0","0","Macao","Asia","2020-06-09"
"1","1","1","0","0","1","0","0","Austria","Europe","2020-06-09"
"0","0","0","0","0","1","1","0","Nauru","Oceania","2020-06-09"
"0","0","0","1","0","0","0","1","Comoros","Africa","2020-06-09"
"0","0","0","1","0","0","0","1","Palau","Oceania","2020-06-09"
"0","0","0","0","0","1","1","1","Malta","Europe","2020-06-09"
"0","0","0","1","0","0","1","1","Heard Island and McDonald Islands","Antarctica","2020-06-09"
"1","1","1","1","0","0","1","0","Belgium","Europe","2020-06-09"
"0","0","1","1","1","1","0","0","Fiji","Oceania","2020-06-09"
"0","0","0","0","1","0","0","0","Botswana","Africa","2020-06-09"
"1","1","0","0","1","0","0","0","Rwanda","Africa","2020-06-09"
"0","0","0","1","0","0","0","0","Brunei","Asia","2020-06-09"
"0","0","1","1","0","0","1","0","Bouvet Island","Antarctica","2020-06-09"
"1","1","1","1","0","1","1","1","Algeria","Africa","2020-06-09"
"0","0","0","0","1","0","0","0","Costa Rica","North America","2020-06-09"
"0","0","0","0","0","0","0","0","Latvia","Europe","2020-06-09"
"0","0","1","0","1","1","0","0","Andorra","Europe","2020-06-09"
"0","0","0","1","0","0","1","0","Niger","Africa","2020-06-09"
"0","0","0","0","0","1","0","1","Romania","Europe","2020-06-09"
"0","0","0","1","0","0","1","0","Angola","Africa","2020-06-09"
"0","0","0","0","0","0","0","0","Russia","Europe","2020-06-09"
"0","0","0","1","1","0","1","1","Sri Lanka","Asia","2020-06-09"
